First_pokemon_id,Second_pokemon_id,Winner,Name_first,Type 1_first,Type 2_first,HP_first,Attack_first,Defense_first,Sp. Atk_first,Sp. Def_first,Speed_first,Generation_first,Legendary_first,height_first,weight_first,base_experience_first,Name_second,Type 1_second,Type 2_second,HP_second,Attack_second,Defense_second,Sp. Atk_second,Sp. Def_second,Speed_second,Generation_second,Legendary_second,height_second,weight_second,base_experience_second
151,87,151,Omastar,Rock,Water,70,60,125,115,70,55,1,False,10,350,173,Slowbro,Water,Psychic,95,75,110,100,80,30,1,False,16,785,172
763,448,448,Clauncher,Water,Normal,50,53,62,58,63,44,6,False,5,83,66,Kricketune,Bug,Normal,77,85,51,55,51,65,4,False,10,255,134
143,263,263,Lapras,Water,Ice,130,85,80,85,95,60,1,False,25,2200,187,Raikou,Electric,Normal,90,85,75,115,100,115,2,True,19,1780,261
365,240,240,Swablu,Normal,Flying,45,40,60,40,75,50,3,False,4,12,62,Piloswine,Ice,Ground,100,100,80,60,60,50,2,False,11,558,158
563,578,563,Samurott,Water,Normal,95,100,85,108,70,70,5,False,15,946,238,Musharna,Psychic,Normal,116,55,85,107,95,29,5,False,11,605,170
440,687,687,Prinplup,Water,Normal,64,66,68,81,76,50,4,False,8,230,142,Bisharp,Dark,Steel,65,125,100,60,70,70,5,False,16,700,172
373,441,441,Whiscash,Water,Ground,110,78,73,76,71,60,3,False,9,236,164,Empoleon,Water,Steel,84,86,88,111,101,60,4,False,17,845,239
654,671,671,Frillish,Water,Ghost,55,40,50,65,85,40,5,False,12,330,67,Chandelure,Ghost,Fire,60,55,90,145,90,80,5,False,10,343,234
609,649,649,Petilil,Grass,Normal,45,35,50,70,50,30,5,False,5,66,56,Emolga,Electric,Flying,55,75,60,75,60,103,5,False,4,50,150
270,708,270,Lugia,Psychic,Flying,106,90,130,90,154,110,2,True,52,2160,306,Zekrom,Dragon,Electric,100,150,120,120,100,90,5,True,29,3450,306
626,767,767,Tirtouga,Water,Rock,54,78,103,53,45,22,5,False,7,165,71,Tyrunt,Rock,Dragon,58,89,77,45,45,48,6,False,8,260,72
139,451,139,Tauros,Normal,Normal,75,100,95,40,70,110,1,False,14,884,172,Luxray,Electric,Normal,80,120,79,95,79,70,4,False,14,420,235
455,549,549,Rampardos,Rock,Normal,97,165,60,65,50,58,4,False,16,1025,173,Manaphy,Water,Normal,100,100,100,100,100,100,4,False,3,14,270
181,301,301,Ledian,Bug,Flying,55,35,50,55,110,85,2,False,14,356,137,Swellow,Normal,Flying,60,85,60,50,50,125,3,False,7,198,159
208,184,184,Sunflora,Grass,Normal,75,75,55,105,85,30,2,False,8,85,149,Crobat,Poison,Flying,85,90,80,70,80,130,2,False,18,750,241
260,381,381,Magby,Fire,Normal,45,75,37,70,55,83,2,False,7,214,73,Armaldo,Rock,Bug,75,125,100,70,80,45,3,False,15,682,173
621,287,287,Scraggy,Dark,Fighting,50,75,70,35,70,48,5,False,6,118,70,Zigzagoon,Normal,Normal,38,30,41,30,41,60,3,False,4,175,56
406,134,406,Luvdisc,Water,Normal,43,30,55,40,65,97,3,False,6,87,116,Jynx,Ice,Psychic,65,50,35,115,95,95,1,False,14,406,159
564,242,242,Patrat,Normal,Normal,45,55,39,35,39,42,5,False,5,116,51,Remoraid,Water,Normal,35,65,35,65,35,65,2,False,6,120,60
579,242,242,Pidove,Normal,Flying,50,55,50,36,30,43,5,False,3,21,53,Remoraid,Water,Normal,35,65,35,65,35,65,2,False,6,120,60
200,719,200,Azumarill,Water,Fairy,100,50,80,60,80,50,2,False,8,285,189,Chespin,Grass,Normal,56,61,65,48,45,38,6,False,4,90,63
376,135,376,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,False,5,215,60,Electabuzz,Electric,Normal,65,83,57,95,85,105,1,False,11,300,172
76,441,441,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,False,7,40,60,Empoleon,Water,Steel,84,86,88,111,101,60,4,False,17,845,239
667,645,645,Elgyem,Psychic,Normal,55,55,55,85,55,30,5,False,5,90,67,Vanillish,Ice,Normal,51,65,65,80,75,59,5,False,11,410,138
475,400,475,Buneary,Normal,Normal,55,66,44,44,56,85,4,False,4,55,70,Sealeo,Ice,Water,90,60,70,75,70,45,3,False,11,876,144
3,737,737,Venusaur,Grass,Poison,80,82,83,100,100,80,1,False,20,1000,236,Pyroar,Fire,Normal,86,68,72,109,66,106,6,False,15,815,177
435,45,435,Torterra,Grass,Ground,95,109,105,75,85,56,4,False,22,3100,236,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,False,5,55,95
231,146,146,Shuckle,Bug,Rock,20,10,230,10,230,5,2,False,6,205,177,Vaporeon,Water,Normal,130,65,60,110,95,65,1,False,10,290,184
456,260,260,Shieldon,Rock,Steel,30,42,118,42,88,30,4,False,5,570,70,Magby,Fire,Normal,45,75,37,70,55,83,2,False,7,214,73
424,754,424,Groudon,Ground,Normal,100,150,140,100,90,90,3,True,35,9500,302,Aromatisse,Fairy,Normal,101,72,72,99,89,29,6,False,8,155,162
258,779,258,Smoochum,Ice,Psychic,45,30,15,85,65,65,2,False,4,60,61,Phantump,Ghost,Grass,43,70,48,50,60,38,6,False,4,70,62
360,208,208,Trapinch,Ground,Normal,45,100,45,45,45,10,3,False,7,150,58,Sunflora,Grass,Normal,75,75,55,105,85,30,2,False,8,85,149
723,646,646,Braixen,Fire,Normal,59,59,58,90,70,73,6,False,10,145,143,Vanilluxe,Ice,Normal,71,95,85,110,95,79,5,False,13,575,241
734,673,673,Spewpa,Bug,Normal,45,22,60,27,30,29,6,False,3,84,75,Fraxure,Dragon,Normal,66,117,70,40,50,67,5,False,10,360,144
141,721,141,Gyarados,Water,Flying,95,125,79,60,100,81,1,False,65,2350,189,Chesnaught,Grass,Fighting,88,107,122,74,75,64,6,False,16,900,239
244,741,244,Delibird,Ice,Flying,45,55,45,65,45,75,2,False,9,160,116,Skiddo,Grass,Normal,66,65,48,62,57,52,6,False,9,310,70
509,217,509,Mantyke,Water,Flying,45,20,50,60,120,50,4,False,10,650,69,Unown,Psychic,Normal,48,72,48,72,48,48,2,False,5,50,118
633,44,633,Zoroark,Dark,Normal,60,105,60,120,60,105,5,False,16,811,179,Ninetales,Fire,Normal,73,76,75,81,100,100,1,False,11,199,177
595,719,595,Conkeldurr,Fighting,Normal,105,140,95,55,65,45,5,False,14,870,227,Chespin,Grass,Normal,56,61,65,48,45,38,6,False,4,90,63
606,40,606,Scolipede,Bug,Poison,60,100,89,55,69,112,5,False,25,2005,218,Nidoking,Poison,Ground,81,102,77,85,75,85,1,False,14,620,227
368,598,368,Zangoose,Normal,Normal,73,115,60,60,60,90,3,False,13,403,160,Seismitoad,Water,Ground,105,95,75,85,75,74,5,False,15,620,229
746,584,746,Espurr,Psychic,Normal,62,48,54,63,60,68,6,False,3,35,71,Roggenrola,Rock,Normal,55,75,85,25,25,15,5,False,4,180,56
303,198,303,Pelipper,Water,Flying,60,50,100,85,70,65,3,False,12,280,154,Bellossom,Grass,Normal,75,80,95,90,100,50,2,False,4,58,221
169,701,701,Meganium,Grass,Normal,80,82,100,83,100,80,2,False,18,1005,236,Terrakion,Rock,Fighting,91,129,90,72,90,108,5,True,19,2600,261
569,115,115,Purrloin,Dark,Normal,41,50,37,50,37,66,5,False,4,101,56,Hitmonlee,Fighting,Normal,50,120,53,35,110,87,1,False,15,498,159
231,172,172,Shuckle,Bug,Rock,20,10,230,10,230,5,2,False,6,205,177,Typhlosion,Fire,Normal,78,84,78,109,85,100,2,False,17,795,240
71,440,71,Alakazam,Psychic,Normal,55,50,45,135,95,120,1,False,15,480,225,Prinplup,Water,Normal,64,66,68,81,76,50,4,False,8,230,142
659,610,610,Ferroseed,Grass,Steel,44,50,91,24,86,10,5,False,6,188,61,Lilligant,Grass,Normal,70,60,75,110,75,90,5,False,11,163,168
570,557,557,Liepard,Dark,Normal,64,88,50,88,50,106,5,False,11,375,156,Serperior,Grass,Normal,75,75,95,75,95,113,5,False,33,630,238
451,352,451,Luxray,Electric,Normal,80,120,79,95,79,70,4,False,14,420,235,Wailord,Water,Normal,170,90,45,90,45,60,3,False,145,3980,175
661,95,95,Klink,Steel,Normal,40,55,70,45,60,30,5,False,3,210,60,Dewgong,Water,Ice,90,70,80,70,95,70,1,False,17,1200,166
130,319,130,Staryu,Water,Normal,30,45,55,70,55,85,1,False,8,345,68,Loudred,Normal,Normal,84,71,43,71,43,48,3,False,10,405,126
579,612,612,Pidove,Normal,Flying,50,55,50,36,30,43,5,False,3,21,53,Sandile,Ground,Dark,50,72,35,35,35,65,5,False,7,152,58
376,37,37,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,False,5,215,60,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,False,13,600,227
343,159,159,Volbeat,Bug,Normal,65,73,55,47,75,85,3,False,7,177,151,Moltres,Fire,Flying,90,100,90,125,85,90,1,True,20,600,261
509,574,574,Mantyke,Water,Flying,45,20,50,60,120,50,4,False,10,650,69,Simisear,Fire,Normal,75,98,63,98,63,101,5,False,10,280,174
486,229,229,Bronzong,Steel,Psychic,67,89,116,79,116,33,4,False,13,1870,175,Scizor,Bug,Steel,70,130,100,55,80,65,2,False,18,1180,175
686,213,213,Pawniard,Dark,Steel,45,85,70,40,40,60,5,False,5,102,68,Umbreon,Dark,Normal,95,65,110,60,130,65,2,False,10,270,184
304,386,386,Ralts,Psychic,Fairy,28,25,25,45,35,40,3,False,4,66,40,Shuppet,Ghost,Normal,44,75,35,63,33,45,3,False,6,23,59
514,732,732,Magnezone,Electric,Steel,70,70,115,130,90,60,4,False,12,1800,241,Talonflame,Fire,Flying,78,81,71,74,69,126,6,False,12,245,175
161,757,161,Dragonair,Dragon,Normal,61,84,65,70,70,70,1,False,40,165,147,Inkay,Dark,Psychic,53,54,53,37,46,45,6,False,4,35,58
150,265,265,Omanyte,Rock,Water,35,40,100,90,55,35,1,False,4,75,71,Suicune,Water,Normal,100,75,115,90,115,85,2,True,20,1870,261
436,701,701,Chimchar,Fire,Normal,44,58,44,58,44,61,4,False,5,62,62,Terrakion,Rock,Fighting,91,129,90,72,90,108,5,True,19,2600,261
221,265,265,Forretress,Bug,Steel,75,90,140,60,60,40,2,False,12,1258,163,Suicune,Water,Normal,100,75,115,90,115,85,2,True,20,1870,261
436,603,603,Chimchar,Fire,Normal,44,58,44,58,44,61,4,False,5,62,62,Leavanny,Bug,Grass,75,103,80,70,80,92,5,False,12,205,225
242,365,242,Remoraid,Water,Normal,35,65,35,65,35,65,2,False,6,120,60,Swablu,Normal,Flying,45,40,60,40,75,50,3,False,4,12,62
792,251,792,Noivern,Flying,Dragon,85,70,80,97,80,123,6,False,15,850,187,Phanpy,Ground,Normal,90,60,60,40,40,40,2,False,5,335,66
607,295,607,Cottonee,Grass,Fairy,40,27,60,37,50,66,5,False,3,6,56,Lombre,Water,Grass,60,50,50,60,70,50,3,False,12,325,119
439,209,209,Piplup,Water,Normal,53,51,53,61,56,40,4,False,4,52,63,Yanma,Bug,Flying,65,65,45,75,45,95,2,False,12,380,78
657,360,657,Joltik,Bug,Electric,50,47,50,57,50,65,5,False,1,6,64,Trapinch,Ground,Normal,45,100,45,45,45,10,3,False,7,150,58
436,40,40,Chimchar,Fire,Normal,44,58,44,58,44,61,4,False,5,62,62,Nidoking,Poison,Ground,81,102,77,85,75,85,1,False,14,620,227
325,408,408,Skitty,Normal,Normal,50,45,45,35,35,50,3,False,6,110,52,Shelgon,Dragon,Normal,65,95,100,60,50,50,3,False,11,1105,147
472,89,472,Ambipom,Normal,Normal,75,100,66,60,66,115,4,False,12,203,169,Magnemite,Electric,Steel,25,35,70,95,55,45,1,False,3,60,65
71,777,71,Alakazam,Psychic,Normal,55,50,45,135,95,120,1,False,15,480,225,Goodra,Dragon,Normal,90,100,70,110,150,80,6,False,20,1505,270
47,615,47,Zubat,Poison,Flying,40,45,35,30,40,55,1,False,8,75,49,Darumaka,Fire,Normal,70,90,45,15,45,50,5,False,6,375,63
5,670,5,Charmander,Fire,Normal,39,52,43,60,50,65,1,False,6,85,62,Lampent,Ghost,Fire,60,40,60,95,60,55,5,False,6,130,130
793,314,314,Xerneas,Fairy,Normal,126,131,95,131,98,99,6,True,30,2150,306,Slaking,Normal,Normal,150,160,100,95,65,100,3,False,20,1305,252
493,568,493,Gabite,Dragon,Ground,68,90,65,50,55,82,4,False,14,560,144,Stoutland,Normal,Normal,85,110,90,45,90,80,5,False,12,610,225
400,341,341,Sealeo,Ice,Water,90,60,70,75,70,45,3,False,11,876,144,Plusle,Electric,Normal,60,50,40,85,75,95,3,False,4,42,142
541,446,541,Dialga,Steel,Dragon,100,120,120,150,100,90,4,True,54,6830,306,Bibarel,Normal,Water,79,85,60,55,60,71,4,False,10,315,144
141,152,141,Gyarados,Water,Flying,95,125,79,60,100,81,1,False,65,2350,189,Kabuto,Rock,Water,30,80,90,55,45,55,1,False,5,115,71
54,115,115,Venonat,Bug,Poison,60,55,50,40,55,45,1,False,10,300,61,Hitmonlee,Fighting,Normal,50,120,53,35,110,87,1,False,15,498,159
378,161,161,Lileep,Rock,Grass,66,41,77,61,87,23,3,False,10,238,71,Dragonair,Dragon,Normal,61,84,65,70,70,70,1,False,40,165,147
224,316,316,Steelix,Steel,Ground,75,85,200,55,65,30,2,False,92,4000,179,Ninjask,Bug,Flying,61,90,45,50,50,160,3,False,8,120,160
503,453,503,Drapion,Poison,Dark,70,90,110,60,75,95,4,False,13,615,175,Roserade,Grass,Poison,60,70,65,125,105,90,4,False,9,145,232
600,598,600,Sawk,Fighting,Normal,75,125,75,30,75,85,5,False,14,510,163,Seismitoad,Water,Ground,105,95,75,85,75,74,5,False,15,620,229
445,45,445,Bidoof,Normal,Normal,59,45,40,35,40,31,4,False,5,200,50,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,False,5,55,95
360,548,548,Trapinch,Ground,Normal,45,100,45,45,45,10,3,False,7,150,58,Phione,Water,Normal,80,80,80,80,80,80,4,False,4,31,216
303,133,133,Pelipper,Water,Flying,60,50,100,85,70,65,3,False,12,280,154,Scyther,Bug,Flying,70,110,80,55,80,105,1,False,15,560,100
51,331,51,Vileplume,Grass,Poison,75,80,85,110,90,50,1,False,12,186,221,Aron,Steel,Rock,50,70,100,40,40,30,3,False,4,600,66
171,559,171,Quilava,Fire,Normal,58,64,58,80,65,80,2,False,9,190,142,Pignite,Fire,Fighting,90,93,55,70,55,55,5,False,10,555,146
758,129,758,Malamar,Dark,Psychic,86,92,88,68,75,73,6,False,15,470,169,Seaking,Water,Normal,80,92,65,65,80,68,1,False,13,390,158
6,255,6,Charmeleon,Fire,Normal,58,64,58,80,65,80,1,False,11,190,142,Smeargle,Normal,Normal,55,20,35,20,45,75,2,False,12,580,88
698,154,154,Larvesta,Bug,Fire,55,85,55,50,55,60,5,False,11,288,72,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,False,18,590,180
92,491,491,Doduo,Normal,Flying,35,85,45,35,35,75,1,False,14,392,62,Spiritomb,Ghost,Dark,50,92,108,92,108,35,4,False,10,1080,170
381,73,381,Armaldo,Rock,Bug,75,125,100,70,80,45,3,False,15,682,173,Machop,Fighting,Normal,70,80,50,35,35,35,1,False,8,195,61
354,271,271,Camerupt,Fire,Ground,70,100,70,105,75,40,3,False,19,2200,161,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,True,38,1990,306
219,49,219,Girafarig,Normal,Psychic,70,80,65,90,65,85,2,False,15,415,159,Oddish,Grass,Poison,45,50,55,75,65,30,1,False,5,54,64
736,244,244,Litleo,Fire,Normal,62,50,58,73,54,72,6,False,6,135,74,Delibird,Ice,Flying,45,55,45,65,45,75,2,False,9,160,116
683,245,245,Druddigon,Dragon,Normal,77,120,90,60,90,48,5,False,16,1390,170,Mantine,Water,Flying,65,40,70,80,140,70,2,False,21,2200,170
200,588,588,Azumarill,Water,Fairy,100,50,80,60,80,50,2,False,8,285,189,Swoobat,Psychic,Flying,67,57,55,77,55,114,5,False,9,105,149
403,636,403,Huntail,Water,Normal,55,104,105,94,75,52,3,False,17,270,170,Gothita,Psychic,Normal,45,30,50,55,65,45,5,False,4,58,58
56,561,561,Diglett,Ground,Normal,10,55,25,35,45,95,1,False,2,8,53,Oshawott,Water,Normal,55,55,45,63,45,45,5,False,5,59,62
54,119,119,Venonat,Bug,Poison,60,55,50,40,55,45,1,False,10,300,61,Weezing,Poison,Normal,65,90,120,85,70,60,1,False,12,95,172
629,141,629,Archeops,Rock,Flying,75,140,65,112,65,110,5,False,14,320,177,Gyarados,Water,Flying,95,125,79,60,100,81,1,False,65,2350,189
547,779,547,Cresselia,Psychic,Normal,120,70,120,75,130,85,4,False,15,856,270,Phantump,Ghost,Grass,43,70,48,50,60,38,6,False,4,70,62
380,547,547,Anorith,Rock,Bug,45,95,50,40,50,75,3,False,7,125,71,Cresselia,Psychic,Normal,120,70,120,75,130,85,4,False,15,856,270
153,559,153,Kabutops,Rock,Water,60,115,105,65,70,80,1,False,13,405,173,Pignite,Fire,Fighting,90,93,55,70,55,55,5,False,10,555,146
306,268,306,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,False,16,484,233,Tyranitar,Rock,Dark,100,134,110,95,100,61,2,False,20,2020,270
89,382,89,Magnemite,Electric,Steel,25,35,70,95,55,45,1,False,3,60,65,Feebas,Water,Normal,20,15,20,10,55,80,3,False,6,74,40
54,32,32,Venonat,Bug,Poison,60,55,50,40,55,45,1,False,10,300,61,Raichu,Electric,Normal,60,90,55,90,80,110,1,False,8,300,218
172,745,745,Typhlosion,Fire,Normal,78,84,78,109,85,100,2,False,17,795,240,Furfrou,Normal,Normal,75,80,60,65,90,102,6,False,12,280,165
16,110,110,Butterfree,Bug,Flying,60,45,50,90,80,70,1,False,11,320,178,Electrode,Electric,Normal,60,50,70,80,80,140,1,False,12,666,172
278,94,278,Combusken,Fire,Fighting,60,85,60,85,60,55,3,False,9,195,142,Seel,Water,Normal,65,45,55,45,70,45,1,False,11,900,65
342,643,643,Minun,Electric,Normal,60,40,50,75,85,95,3,False,4,42,142,Swanna,Water,Flying,75,87,63,87,63,98,5,False,13,242,166
638,691,691,Gothitelle,Psychic,Normal,70,55,95,95,110,65,5,False,15,440,221,Vullaby,Dark,Flying,70,55,75,45,65,60,5,False,5,90,74
734,718,718,Spewpa,Bug,Normal,45,22,60,27,30,29,6,False,3,84,75,Genesect,Bug,Steel,71,120,95,120,95,99,5,False,15,825,270
42,113,42,Clefable,Fairy,Normal,95,70,73,95,90,60,1,False,13,400,217,Cubone,Ground,Normal,50,50,95,40,50,35,1,False,4,65,64
97,316,97,Muk,Poison,Normal,105,105,75,65,100,50,1,False,12,300,175,Ninjask,Bug,Flying,61,90,45,50,50,160,3,False,8,120,160
416,397,397,Regice,Ice,Normal,80,50,100,100,200,50,3,True,18,1750,261,Glalie,Ice,Normal,80,80,80,80,80,80,3,False,15,2565,168
483,400,483,Stunky,Poison,Dark,63,63,47,41,41,74,4,False,4,192,66,Sealeo,Ice,Water,90,60,70,75,70,45,3,False,11,876,144
539,30,30,Mesprit,Psychic,Normal,80,105,105,105,105,80,4,True,3,3,261,Arbok,Poison,Normal,60,85,69,65,79,80,1,False,35,650,157
232,254,254,Heracross,Bug,Fighting,80,125,75,40,95,85,2,False,15,540,175,Stantler,Normal,Normal,73,95,62,85,65,85,2,False,14,712,163
496,420,496,Munchlax,Normal,Normal,135,85,40,40,85,5,4,False,6,1050,78,Latios,Dragon,Psychic,80,90,80,130,110,110,3,True,20,600,270
268,159,159,Tyranitar,Rock,Dark,100,134,110,95,100,61,2,False,20,2020,270,Moltres,Fire,Flying,90,100,90,125,85,90,1,True,20,600,261
473,593,473,Drifloon,Ghost,Flying,90,50,34,60,44,70,4,False,4,12,70,Timburr,Fighting,Normal,75,80,55,25,35,35,5,False,6,125,61
550,475,550,Darkrai,Dark,Normal,70,90,90,135,90,125,4,True,15,505,270,Buneary,Normal,Normal,55,66,44,44,56,85,4,False,4,55,70
385,732,732,Kecleon,Normal,Normal,60,90,70,60,120,40,3,False,10,220,154,Talonflame,Fire,Flying,78,81,71,74,69,126,6,False,12,245,175
30,587,30,Arbok,Poison,Normal,60,85,69,65,79,80,1,False,35,650,157,Woobat,Psychic,Flying,55,45,43,55,43,72,5,False,4,21,65
36,494,494,Nidorina,Poison,Normal,70,62,67,55,55,56,1,False,8,200,128,Garchomp,Dragon,Ground,108,130,95,80,85,102,4,False,19,950,270
513,184,184,Weavile,Dark,Ice,70,120,65,45,85,125,4,False,11,340,179,Crobat,Poison,Flying,85,90,80,70,80,130,2,False,18,750,241
129,106,129,Seaking,Water,Normal,80,92,65,65,80,68,1,False,13,390,158,Hypno,Psychic,Normal,85,73,70,73,115,67,1,False,16,756,169
6,604,6,Charmeleon,Fire,Normal,58,64,58,80,65,80,1,False,11,190,142,Venipede,Bug,Poison,30,45,59,30,39,57,5,False,4,53,52
137,315,137,Pinsir,Bug,Normal,65,125,100,55,70,85,1,False,15,550,175,Nincada,Bug,Ground,31,45,90,30,30,40,3,False,5,55,53
83,509,509,Golem,Rock,Ground,80,120,130,55,65,45,1,False,14,3000,223,Mantyke,Water,Flying,45,20,50,60,120,50,4,False,10,650,69
743,57,57,Pancham,Fighting,Normal,67,82,62,46,48,43,6,False,6,80,70,Dugtrio,Ground,Normal,35,80,50,50,70,120,1,False,7,333,149
220,723,723,Pineco,Bug,Normal,50,65,90,35,35,15,2,False,6,72,58,Braixen,Fire,Normal,59,59,58,90,70,73,6,False,10,145,143
764,665,764,Clawitzer,Water,Normal,71,73,88,120,89,59,6,False,13,353,100,Eelektrik,Electric,Normal,65,85,70,75,70,40,5,False,12,220,142
708,439,708,Zekrom,Dragon,Electric,100,150,120,120,100,90,5,True,29,3450,306,Piplup,Water,Normal,53,51,53,61,56,40,4,False,4,52,63
23,796,23,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,False,15,395,216,Diancie,Rock,Fairy,50,100,150,100,150,50,6,True,7,88,270
698,147,147,Larvesta,Bug,Fire,55,85,55,50,55,60,5,False,11,288,72,Jolteon,Electric,Normal,65,65,60,110,95,130,1,False,8,245,184
306,635,635,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,False,16,484,233,Cinccino,Normal,Normal,75,95,60,65,60,115,5,False,5,75,165
158,666,158,Zapdos,Electric,Flying,90,90,85,125,90,100,1,True,16,526,261,Eelektross,Electric,Normal,85,115,80,105,80,50,5,False,21,805,232
55,750,750,Venomoth,Bug,Poison,70,65,60,90,75,90,1,False,15,125,158,Doublade,Steel,Ghost,59,110,150,45,49,35,6,False,8,45,157
513,439,513,Weavile,Dark,Ice,70,120,65,45,85,125,4,False,11,340,179,Piplup,Water,Normal,53,51,53,61,56,40,4,False,4,52,63
769,264,264,Amaura,Rock,Ice,77,59,50,67,63,46,6,False,13,252,72,Entei,Fire,Normal,115,115,85,90,75,100,2,True,21,1980,261
23,623,23,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,False,15,395,216,Sigilyph,Psychic,Flying,72,58,80,103,80,97,5,False,14,140,172
97,250,250,Muk,Poison,Normal,105,105,75,65,100,50,1,False,12,300,175,Kingdra,Water,Dragon,75,95,95,95,95,85,2,False,18,1520,243
324,544,544,Nosepass,Rock,Normal,30,45,135,45,90,30,3,False,10,970,75,Regigigas,Normal,Normal,110,160,110,80,110,100,4,True,37,4200,302
517,10,517,Tangrowth,Grass,Normal,100,100,125,110,50,50,4,False,20,1286,187,Squirtle,Water,Normal,44,48,65,50,64,43,1,False,5,90,63
779,349,349,Phantump,Ghost,Grass,43,70,48,50,60,38,6,False,4,70,62,Sharpedo,Water,Dark,70,120,40,95,40,95,3,False,18,888,161
669,226,226,Litwick,Ghost,Fire,50,30,55,65,55,20,5,False,3,31,55,Snubbull,Fairy,Normal,60,80,50,40,40,30,2,False,6,78,60
623,53,623,Sigilyph,Psychic,Flying,72,58,80,103,80,97,5,False,14,140,172,Parasect,Bug,Grass,60,95,80,60,80,30,1,False,10,295,142
538,718,718,Uxie,Psychic,Normal,75,75,130,75,130,95,4,True,3,3,261,Genesect,Bug,Steel,71,120,95,120,95,99,5,False,15,825,270
438,242,438,Infernape,Fire,Fighting,76,104,71,104,71,108,4,False,12,550,240,Remoraid,Water,Normal,35,65,35,65,35,65,2,False,6,120,60
523,759,523,Glaceon,Ice,Normal,65,60,110,130,95,65,4,False,8,259,184,Binacle,Rock,Water,42,52,67,39,56,50,6,False,5,310,61
378,152,152,Lileep,Rock,Grass,66,41,77,61,87,23,3,False,10,238,71,Kabuto,Rock,Water,30,80,90,55,45,55,1,False,5,115,71
478,361,478,Mismagius,Ghost,Normal,60,60,60,105,105,105,4,False,9,44,173,Vibrava,Ground,Dragon,50,70,50,50,50,70,3,False,11,153,119
137,698,137,Pinsir,Bug,Normal,65,125,100,55,70,85,1,False,15,550,175,Larvesta,Bug,Fire,55,85,55,50,55,60,5,False,11,288,72
354,739,739,Camerupt,Fire,Ground,70,100,70,105,75,40,3,False,19,2200,161,Floette,Fairy,Normal,54,45,47,75,98,52,6,False,2,9,130
291,605,291,Beautifly,Bug,Flying,60,70,50,100,50,65,3,False,10,284,178,Whirlipede,Bug,Poison,40,55,99,40,79,47,5,False,12,585,126
96,264,264,Grimer,Poison,Normal,80,80,50,40,50,25,1,False,9,300,65,Entei,Fire,Normal,115,115,85,90,75,100,2,True,21,1980,261
730,137,137,Fletchling,Normal,Flying,45,50,43,40,38,62,6,False,3,17,56,Pinsir,Bug,Normal,65,125,100,55,70,85,1,False,15,550,175
